ticker,date,regular_close,min_to_5pct,min_to_10pct,min_to_20pct,min_to_30pct,peak_pct,peak_minute,peak_price,ten_pct_within_2min
VRRM,2026-07-28,4.185,66,66,66,66,60.1,66,6.7,0
AWX,2026-08-07,2.57,66,66,89,98,38.52,100,3.56,0
ONFO,2026-08-10,2.39,67,67,67,67,32.64,67,3.17,0
AMZE,2026-07-30,0.1975,67,68,69,107,102.53,128,0.4,0
TNMG,2026-08-04,0.482,32,69,79,80,38.42,83,0.6672,0
JEM,2026-07-23,4.73,56,71,72,81,44.61,92,6.84,0
FRMI,2026-08-10,5.865,71,71,71,76,39.13,78,8.16,0
BOXL,2026-08-11,2.94,73,73,73,74,62.24,91,4.77,0
TRUG,2026-08-14,0.9707,72,73,184,185,52.47,239,1.48,0
WLDS,2026-07-23,2.22,70,74,141,142,58.1,145,3.5099,0
ATXG,2026-07-31,3.53,31,74,74,74,41.93,75,5.01,0
HYFM,2026-08-05,1.615,74,75,79,80,36.22,80,2.2,0
MSGY,2026-07-31,2.4224,76,76,112,112,92.8,119,4.6704,0
WETO,2026-08-14,8.215,0,78,88,96,37.92,100,11.33,0
GSUN,2026-07-23,0.34,78,79,128,133,46.53,135,0.4982,0
FMFC,2026-08-03,0.3401,79,80,100,101,58.22,102,0.5381,0
LVWR,2026-07-23,0.7955,83,83,170,199,86.05,200,1.48,0
LGCL,2026-07-22,0.9805,85,85,86,90,82.56,226,1.79,0
SBEV,2026-07-31,0.3664,0,85,86,90,46.12,95,0.5354,0
ADGM,2026-08-03,0.46,60,86,203,204,91.59,206,0.8813,0
BAOS,2026-08-05,0.5779,86,86,86,89,33.24,89,0.77,0
CLRO,2026-08-05,3.77,87,88,89,89,113.53,159,8.05,0
XHLD,2026-08-07,2.02,86,89,91,93,88.12,94,3.8,0
CHAI,2026-07-21,0.3941,79,90,91,94,136.03,237,0.9302,0
GCTK,2026-07-29,0.2897,90,90,90,96,91.75,151,0.5555,0
NWGL,2026-07-31,0.2542,18,91,93,97,39.22,98,0.3539,0
SAGT,2026-08-06,0.71,90,91,104,147,31.0,148,0.9301,0
CJMB,2026-07-16,0.84,92,92,93,98,61.9,201,1.36,0
ADVB,2026-07-20,9.05,91,92,94,97,54.7,107,14,0
ONMD,2026-08-07,0.6192,85,92,94,100,30.81,100,0.81,0
STKH,2026-07-29,2.77,67,94,110,110,40.79,111,3.9,0
BBBY.WS,2026-08-13,0.58,96,97,102,105,93.1,108,1.12,0
BIVI,2026-08-12,1.54,22,97,99,118,61.03,121,2.4799,0
SGHT,2026-08-04,5.64,98,98,100,100,43.19,100,8.0758,0
RDGT,2026-07-20,1.5601,97,99,121,127,53.84,171,2.4,0
ZJYL,2026-08-04,1.94,100,101,102,102,91.75,113,3.72,0
STFS,2026-07-28,3.67,4,101,101,102,80.38,111,6.62,0
MYSZ,2026-08-12,3.2264,60,103,103,104,31.42,104,4.24,0
CCHH,2026-07-28,1.525,103,104,108,139,36.39,179,2.08,0
JSPR,2026-07-16,0.8031,105,105,105,105,60.63,110,1.29,0
MTNB,2026-07-30,0.3198,110,110,111,116,56.29,134,0.4998,0
CIGL,2026-08-12,0.4822,110,110,211,212,36.87,212,0.66,0
COOT,2026-07-24,0.3826,110,110,111,111,30.68,111,0.5,0
NWTG,2026-08-14,1.3,118,119,135,135,30.77,135,1.7,0
YHC,2026-07-29,1.59,36,120,148,148,38.99,152,2.21,0
VIVS,2026-07-30,0.383,115,122,140,141,43.6,143,0.55,0
SKYE,2026-08-14,0.5015,120,123,124,124,51.01,176,0.7573,0
DFNS,2026-07-24,4.3,8,126,128,134,74.19,158,7.49,0
SBEV,2026-07-30,0.3399,127,127,137,138,104.47,197,0.695,0
HXHX,2026-08-12,0.5301,125,127,129,130,62.04,135,0.859,0
FEMY,2026-08-12,2.34,52,138,140,140,30.77,140,3.06,0
AQB,2026-08-06,1.07,71,139,151,152,98.13,172,2.12,0
DXF,2026-08-10,0.4981,36,145,146,147,75.73,173,0.8753,0
AGRZ,2026-07-30,0.3164,7,150,155,158,44.09,158,0.4559,0
AIMD,2026-08-03,1.445,87,151,152,152,66.78,158,2.41,0
FMFC,2026-08-10,0.2681,160,161,174,176,41.74,179,0.38,0
FNGR,2026-07-31,0.2754,161,162,162,163,52.51,175,0.42,0
POLA,2026-07-27,1.48,165,165,165,165,50.0,183,2.22,0
MKZR,2026-08-03,1.24,174,174,174,176,77.42,179,2.2,0
IMXI,2026-08-13,11.71,181,182,184,184,40.99,184,16.51,0
SURG,2026-08-05,0.2265,180,184,190,192,75.72,211,0.398,0
SLXN,2026-08-11,1.03,186,188,190,192,43.69,198,1.48,0
VGAS,2026-08-03,1.04,190,190,190,191,58.65,193,1.65,0
VRAX,2026-08-03,2.94,129,192,194,194,39.46,195,4.1,0
BAOS,2026-08-07,0.644,52,210,212,213,52.17,217,0.98,0
GVH,2026-07-29,0.9099,216,217,217,232,37.39,238,1.2501,0
